,name,city,country,iata,icao,lat,lon,altitude,timezone,dst,tz_database_time,type,source,evcent,pagerank,degree_centrality,closeness,betweenness
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898345900015,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,5.473929397866374e-05,0.00022889429853588603,0.002336448598130841,0.22053325273118396,0.0
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports,5.708346540606338e-05,0.0003796996758737487,0.0040887850467289715,0.22057719824816793,6.256922431453708e-07
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,5.8569671131521655e-05,0.0004779788931485474,0.004964953271028037,0.22060650499077714,1.5926711643700348e-06
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,5.938489784643969e-05,0.0004942828084770946,0.005257009345794392,0.22062116128263143,2.047720068475759e-06
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,146,10,U,Pacific/Port_Moresby,airport,OurAirports,0.0036167937225007017,0.0016725229215162239,0.020151869158878503,0.2840709768713574,0.01600876152487159
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998,19,10,U,Pacific/Port_Moresby,airport,OurAirports,5.4659019408796564e-05,0.0002334409029770757,0.002336448598130841,0.22053325273118396,5.6881113013215525e-08
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports,3.171657687914259e-05,0.00037120834902929786,0.0029205607476635513,0.2095267663339118,0.0066096438172543025
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.678100585900005,283,-3,E,America/Godthab,airport,OurAirports,0.0005971674987548153,0.0006146483889364692,0.005257009345794392,0.24177573495640103,0.009430247775373284
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports,0.00159040004334285,0.0005181747888851004,0.004672897196261682,0.2614795054823754,0.018851200021540487
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001,251,-4,E,America/Thule,airport,OurAirports,9.619494167583723e-11,0.0003013721075625665,0.0011682242990654205,0.12814655088470203,0.0005756653042502478
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210939,-18.07270050048828,6,0,N,Atlantic/Reykjavik,airport,OurAirports,1.310892146750242e-07,0.00013532062760020783,0.0005841121495327102,0.16228264280047736,0.0
