,name,iata,icao
0,Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210
1,Aerospatiale/Alenia ATR 42-300,AT4,AT43
2,Aerospatiale/Alenia ATR 42-500,AT5,AT45
3,Aerospatiale/Alenia ATR 42-600,ATR,AT46
4,Aerospatiale/Alenia ATR 72,AT7,AT72
5,Airbus A300,AB3,A30B
6,Airbus A300-600,ABY,A306
7,Airbus A310,310,A310
8,Airbus A318,318,A318
9,Airbus A319,319,A319
10,Airbus A320,320,A320
11,Airbus A321,321,A321
12,Airbus A330,330,\N
13,Airbus A330-200,332,A332
14,Airbus A330-300,333,A333
15,Airbus A340,340,\N
16,Airbus A340-200,342,A342
17,Airbus A340-300,343,A343
18,Airbus A340-500,345,A345
19,Airbus A340-600,346,A346
20,Airbus A350,350,\N
21,Airbus A350-1000,351,A35K
22,Airbus A350-900,359,A359
23,Airbus A380,380,\N
24,Airbus A380-800,388,A388
25,Antonov An-148,A81,A148
26,Antonov An-158,A58,A158
27,Antonov AN-72,AN7,AN72
28,Avro RJ100,AR1,RJ1H
29,Avro RJ70,AR7,RJ70
30,Avro RJ85,AR8,RJ85
31,BAe 146,146,\N
32,BAe 146-100,141,B461
33,BAe 146-200,142,B462
34,BAe 146-300,143,B463
35,Beechcraft 1900,BEH,B190
36,Beechcraft Baron,\N,BE58
37,Bell 212,BH2,B212
38,Boeing 707,703,B703
39,Boeing 717,717,B712
40,Boeing 720B,B72,B720
41,Boeing 727,727,\N
42,Boeing 727-100,721,B721
43,Boeing 727-200,722,B722
44,Boeing 737,737,\N
45,Boeing 737 MAX 8,7M8,B38M
46,Boeing 737-200,732,B732
47,Boeing 737-300,733,B733
48,Boeing 737-400,734,B734
49,Boeing 737-500,735,B735
50,Boeing 737-600,736,B736
51,Boeing 737-700,73G,B737
52,Boeing 737-800,738,B738
53,Boeing 737-900,739,B739
54,Boeing 747,747,\N
55,Boeing 747-100,741,B741
56,Boeing 747-200,742,B742
57,Boeing 747-300,743,B743
58,Boeing 747-400,744,B744
59,Boeing 747-8,748,B748
60,Boeing 747SP,74L,B74S
61,Boeing 747SR,74R,B74R
62,Boeing 757,757,\N
63,Boeing 757-200,752,B752
64,Boeing 757-300,753,B753
65,Boeing 767,767,\N
66,Boeing 767-200,762,B762
67,Boeing 767-300,763,B763
68,Boeing 767-400,764,B764
69,Boeing 777,777,\N
70,Boeing 777-200,772,B772
71,Boeing 777-200LR,77L,B77L
72,Boeing 777-300,773,B773
73,Boeing 777-300ER,77W,B77W
